dataset,method,config_id,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,runtime_seconds,training_runtime_seconds,training_rows,validation_rows,test_rows,validation_f1,validation_source_macro_f1,decision_threshold,parameters,sample_limit,seed,status,error_message
train_subset,minilm_logistic_regression,minilm_subject_body256_norm_cwnone_c10,2000,1000,1000,0.9685,0.9708542713567839,0.966,0.9684210526315788,0.971,0.9684999999999999,29,34,966,971,0.029,0.034,0.4975,0,0.0,9.120113125005446,2384.377480957999,81852,1779,5339,0.9629213483146066,0.9286875185566343,0.5808626599554912,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""subject_body256"", ""threshold"": 0.5808626599554912}",2000,67,completed,
enron,minilm_logistic_regression,minilm_subject_body256_norm_cwnone_c10,2000,2000,0,0.7495,0.0,0.0,0.0,0.7495,0.37475,501,0,0,1499,0.2505,0.0,0.2505,0,0.0,7.381792458996642,2384.377480957999,81852,1779,5339,0.9629213483146066,0.9286875185566343,0.5808626599554912,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""subject_body256"", ""threshold"": 0.5808626599554912}",2000,67,completed,
fraudulent_email_corpus,minilm_logistic_regression,minilm_subject_body256_norm_cwnone_c10,2000,0,2000,0.985,1.0,0.985,0.9924433249370278,0.0,0.4925,0,30,1970,0,0.0,0.015,0.985,0,0.0,8.75075545800064,2384.377480957999,81852,1779,5339,0.9629213483146066,0.9286875185566343,0.5808626599554912,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""subject_body256"", ""threshold"": 0.5808626599554912}",2000,67,completed,
spam_ham,minilm_logistic_regression,minilm_subject_body256_norm_cwnone_c10,2000,1431,569,0.755,0.5402650356778798,0.9314586994727593,0.6838709677419356,0.6848357791754018,0.8081472393240805,451,39,530,980,0.31516422082459816,0.06854130052724078,0.4905,0,0.0,6.097816207999131,2384.377480957999,81852,1779,5339,0.9629213483146066,0.9286875185566343,0.5808626599554912,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""subject_body256"", ""threshold"": 0.5808626599554912}",2000,67,completed,
