method,config_id,validation_rows,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_specificity,validation_balanced_accuracy,validation_source_macro_f1,decision_threshold,training_runtime_seconds,parameters
minilm_logistic_regression,minilm_full256_raw_cwnone_c0.01,1779,0.9224283305227656,0.9382284382284383,0.9044943820224719,0.9210526315789475,0.9403824521934758,0.9224384171079738,0.8740087436365634,0.5138436941944663,0.2507359169976553,"{""C"": 0.01, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.5138436941944663}"
minilm_logistic_regression,minilm_full256_raw_cwnone_c0.1,1779,0.9398538504777965,0.9536500579374276,0.9247191011235955,0.9389617798060468,0.9550056242969629,0.9398623627102791,0.8989567658428841,0.5637096768677469,0.3257069160026731,"{""C"": 0.1, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.5637096768677469}"
minilm_logistic_regression,minilm_full256_raw_cwnone_c1,1779,0.9471613265879708,0.9638694638694638,0.9292134831460674,0.9462242562929062,0.9651293588301463,0.9471714209881068,0.906191679234429,0.6139041989942102,0.30596145799790975,"{""C"": 1.0, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.6139041989942102}"
minilm_logistic_regression,minilm_full256_raw_cwnone_c10,1779,0.9550309162450815,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550056242969629,0.9550309020361218,0.906696621455145,0.5021356762849319,0.3626484169944888,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.5021356762849319}"
minilm_logistic_regression,minilm_full256_raw_cwbalanced_c0.01,1779,0.9224283305227656,0.9382284382284383,0.9044943820224719,0.9210526315789475,0.9403824521934758,0.9224384171079738,0.8740087436365634,0.5138436941944663,0.26207241699739825,"{""C"": 0.01, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.5138436941944663}"
minilm_logistic_regression,minilm_full256_raw_cwbalanced_c0.1,1779,0.9398538504777965,0.9536500579374276,0.9247191011235955,0.9389617798060468,0.9550056242969629,0.9398623627102791,0.8989567658428841,0.5637096768677469,0.34651870900415815,"{""C"": 0.1, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.5637096768677469}"
minilm_logistic_regression,minilm_full256_raw_cwbalanced_c1,1779,0.9471613265879708,0.9638694638694638,0.9292134831460674,0.9462242562929062,0.9651293588301463,0.9471714209881068,0.906191679234429,0.6139041989942102,0.34116966700094054,"{""C"": 1.0, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.6139041989942102}"
minilm_logistic_regression,minilm_full256_raw_cwbalanced_c10,1779,0.9550309162450815,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550056242969629,0.9550309020361218,0.906696621455145,0.5021356762849319,0.3586272500033374,"{""C"": 10.0, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full256"", ""threshold"": 0.5021356762849319}"
minilm_logistic_regression,minilm_full256_norm_cwnone_c0.01,1779,0.9224283305227656,0.9382284382284383,0.9044943820224719,0.9210526315789475,0.9403824521934758,0.9224384171079738,0.8740087436365634,0.5138436642800767,0.2517592500007595,"{""C"": 0.01, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.5138436642800767}"
minilm_logistic_regression,minilm_full256_norm_cwnone_c0.1,1779,0.9398538504777965,0.9536500579374276,0.9247191011235955,0.9389617798060468,0.9550056242969629,0.9398623627102791,0.8989567658428841,0.5637096867662733,0.3295092919943272,"{""C"": 0.1, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.5637096867662733}"
minilm_logistic_regression,minilm_full256_norm_cwnone_c1,1779,0.9471613265879708,0.9638694638694638,0.9292134831460674,0.9462242562929062,0.9651293588301463,0.9471714209881068,0.906191679234429,0.613904236346002,0.3133282920025522,"{""C"": 1.0, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.613904236346002}"
minilm_logistic_regression,minilm_full256_norm_cwnone_c10,1779,0.9550309162450815,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550056242969629,0.9550309020361218,0.906696621455145,0.5021356659624263,0.3545066250007949,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.5021356659624263}"
minilm_logistic_regression,minilm_full256_norm_cwbalanced_c0.01,1779,0.9224283305227656,0.9382284382284383,0.9044943820224719,0.9210526315789475,0.9403824521934758,0.9224384171079738,0.8740087436365634,0.5138436642800767,0.2642712080050842,"{""C"": 0.01, ""class_weight"": ""balanced"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.5138436642800767}"
minilm_logistic_regression,minilm_full256_norm_cwbalanced_c0.1,1779,0.9398538504777965,0.9536500579374276,0.9247191011235955,0.9389617798060468,0.9550056242969629,0.9398623627102791,0.8989567658428841,0.5637096867662733,0.3478909169934923,"{""C"": 0.1, ""class_weight"": ""balanced"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.5637096867662733}"
minilm_logistic_regression,minilm_full256_norm_cwbalanced_c1,1779,0.9471613265879708,0.9638694638694638,0.9292134831460674,0.9462242562929062,0.9651293588301463,0.9471714209881068,0.906191679234429,0.613904236346002,0.3528321669946308,"{""C"": 1.0, ""class_weight"": ""balanced"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.613904236346002}"
minilm_logistic_regression,minilm_full256_norm_cwbalanced_c10,1779,0.9550309162450815,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.9550056242969629,0.9550309020361218,0.906696621455145,0.5021356659624263,0.37054516700300155,"{""C"": 10.0, ""class_weight"": ""balanced"", ""normalized"": true, ""representation"": ""full256"", ""threshold"": 0.5021356659624263}"
minilm_logistic_regression,minilm_full512_raw_cwnone_c0.01,1779,0.9190556492411467,0.9347319347319347,0.9011235955056179,0.9176201372997712,0.937007874015748,0.919065734760683,0.8651906140703499,0.5227327385123229,0.28031704100430943,"{""C"": 0.01, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.5227327385123229}"
minilm_logistic_regression,minilm_full512_raw_cwnone_c0.1,1779,0.9421023046655425,0.9634864546525324,0.9191011235955057,0.9407705577918345,0.9651293588301463,0.942115241212826,0.8980262897546005,0.6175905809984744,0.30510441699880175,"{""C"": 0.1, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.6175905809984744}"
minilm_logistic_regression,minilm_full512_raw_cwnone_c1,1779,0.955593029792018,0.9490586932447398,0.9629213483146067,0.9559397657557167,0.9482564679415073,0.9555889081280571,0.8973262242793851,0.4610641418560118,0.4481337920005899,"{""C"": 1.0, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.4610641418560118}"
minilm_logistic_regression,minilm_full512_raw_cwnone_c10,1779,0.9584035975267003,0.9584269662921349,0.9584269662921349,0.9584269662921349,0.9583802024746907,0.9584035843834128,0.9004348513127691,0.5120688671050513,0.43632508299924666,"{""C"": 10.0, ""class_weight"": ""none"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.5120688671050513}"
minilm_logistic_regression,minilm_full512_raw_cwbalanced_c0.01,1779,0.9190556492411467,0.9347319347319347,0.9011235955056179,0.9176201372997712,0.937007874015748,0.919065734760683,0.8651906140703499,0.5227327385123229,0.2680391670000972,"{""C"": 0.01, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.5227327385123229}"
minilm_logistic_regression,minilm_full512_raw_cwbalanced_c0.1,1779,0.9421023046655425,0.9634864546525324,0.9191011235955057,0.9407705577918345,0.9651293588301463,0.942115241212826,0.8980262897546005,0.6175905809984744,0.32080362499982584,"{""C"": 0.1, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.6175905809984744}"
minilm_logistic_regression,minilm_full512_raw_cwbalanced_c1,1779,0.955593029792018,0.9490586932447398,0.9629213483146067,0.9559397657557167,0.9482564679415073,0.9555889081280571,0.8973262242793851,0.4610641418560118,0.45338208300381666,"{""C"": 1.0, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.4610641418560118}"
minilm_logistic_regression,minilm_full512_raw_cwbalanced_c10,1779,0.9584035975267003,0.9584269662921349,0.9584269662921349,0.9584269662921349,0.9583802024746907,0.9584035843834128,0.9004348513127691,0.5120688671050513,0.4453122089980752,"{""C"": 10.0, ""class_weight"": ""balanced"", ""normalized"": false, ""representation"": ""full512"", ""threshold"": 0.5120688671050513}"
minilm_logistic_regression,minilm_full512_norm_cwnone_c0.01,1779,0.9190556492411467,0.9347319347319347,0.9011235955056179,0.9176201372997712,0.937007874015748,0.919065734760683,0.8651906140703499,0.5227327366983118,0.2697093329989002,"{""C"": 0.01, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""full512"", ""threshold"": 0.5227327366983118}"
minilm_logistic_regression,minilm_full512_norm_cwnone_c0.1,1779,0.9421023046655425,0.9634864546525324,0.9191011235955057,0.9407705577918345,0.9651293588301463,0.942115241212826,0.8980262897546005,0.6175905758978987,0.33243895900523057,"{""C"": 0.1, ""class_weight"": ""none"", ""normalized"": true, ""representation"": ""full512"", ""threshold"": 0.6175905758978987}"
