method,evaluation_method,dataset,config_index,config_id,checkpoint_type,checkpoint_step,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,eval_batch_size,max_seq_length,learning_rate,train_batch_size,num_train_epochs,model_id,checkpoint_path,runtime_seconds,training_runtime_seconds,training_rows,validation_rows,test_rows,validation_f1,decision_threshold,status,error_message
distilbert_sequence_classification,sequence_classification,train_subset,1,distilbert_seq512_lr2e-05,fine_tuned_model,5116,2000.0,1000.0,1000.0,0.9995,1.0,0.999,0.9994997498749374,1.0,0.9995,0.0,1.0,999.0,1000.0,0.0,0.001,0.4995,0.0,0.0,32,512,2e-05,16,1,distilbert-base-uncased,,37.5398,7650.3917,81852,1779,5339,0.9955056179775281,0.46241295337677,completed,
distilbert_sequence_classification,sequence_classification,enron,1,distilbert_seq512_lr2e-05,fine_tuned_model,5116,2000.0,2000.0,0.0,0.893,0.0,0.0,0.0,0.893,0.4465,214.0,0.0,0.0,1786.0,0.107,0.0,0.107,0.0,0.0,32,512,2e-05,16,1,distilbert-base-uncased,,36.6163,7650.3917,81852,1779,5339,0.9955056179775281,0.46241295337677,completed,
distilbert_sequence_classification,sequence_classification,fraudulent_email_corpus,1,distilbert_seq512_lr2e-05,fine_tuned_model,5116,2000.0,0.0,2000.0,0.9985,1.0,0.9985,0.9992494370778084,0.0,0.49925,0.0,3.0,1997.0,0.0,0.0,0.0015,0.9985,0.0,0.0,32,512,2e-05,16,1,distilbert-base-uncased,,36.5353,7650.3917,81852,1779,5339,0.9955056179775281,0.46241295337677,completed,
distilbert_sequence_classification,sequence_classification,spam_ham,1,distilbert_seq512_lr2e-05,fine_tuned_model,5116,2000.0,1431.0,569.0,0.9225,0.7965616045845272,0.9771528998242531,0.877663772691397,0.9007686932215234,0.9389607965228883,142.0,13.0,556.0,1289.0,0.0992313067784766,0.022847100175746926,0.349,0.0,0.0,32,512,2e-05,16,1,distilbert-base-uncased,,35.6492,7650.3917,81852,1779,5339,0.9955056179775281,0.46241295337677,completed,
