method,config_id,validation_rows,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_specificity,validation_balanced_accuracy,validation_source_macro_f1,decision_threshold,training_runtime_seconds,parameters
tfidf_logistic_regression,tfidf_word_1_2_logreg_c0.01,1779,0.9668353007307476,0.958103638368247,0.9764044943820225,0.9671675013912076,0.9572553430821147,0.9668299187320686,0.9671675013912076,0.4917991062256087,1.748444415999984,"{""C"": 0.01, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.4917991062256087}"
tfidf_logistic_regression,tfidf_word_1_2_logreg_c0.1,1779,0.9820123664980326,0.9820224719101124,0.9820224719101124,0.9820224719101124,0.9820022497187851,0.9820123608144488,0.9820224719101124,0.49932826294519544,1.7285312079984578,"{""C"": 0.1, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.49932826294519544}"
tfidf_logistic_regression,tfidf_word_1_2_logreg_c1,1779,0.9915682967959528,0.9899216125419933,0.9932584269662922,0.9915872125630959,0.9898762654668166,0.9915673462165544,0.9915872125630959,0.5,2.4723097079986474,"{""C"": 1.0, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.5}"
tfidf_logistic_regression,tfidf_word_1_2_logreg_c10,1779,0.9943788645306352,0.9899777282850779,0.998876404494382,0.994407158836689,0.9898762654668166,0.9943763349805993,0.994407158836689,0.35790480267505553,3.885714874999394,"{""C"": 10.0, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.35790480267505553}"
