dataset,method,config_id,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,runtime_seconds,training_runtime_seconds,training_rows,validation_rows,test_rows,validation_f1,validation_source_macro_f1,decision_threshold,parameters,sample_limit,seed,status,error_message
train_subset,tfidf_logistic_regression,tfidf_word_1_2_logreg_c10,2000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1000,1000,0.0,0.0,0.5,0,0.0,0.7319036249973578,10.988055709000037,81852,1779,5339,0.994407158836689,0.994407158836689,0.35790480267505553,"{""C"": 10.0, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.35790480267505553}",2000,67,completed,
enron,tfidf_logistic_regression,tfidf_word_1_2_logreg_c10,2000,2000,0,0.7045,0.0,0.0,0.0,0.7045,0.35225,591,0,0,1409,0.2955,0.0,0.2955,0,0.0,0.6348094169952674,10.988055709000037,81852,1779,5339,0.994407158836689,0.994407158836689,0.35790480267505553,"{""C"": 10.0, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.35790480267505553}",2000,67,completed,
fraudulent_email_corpus,tfidf_logistic_regression,tfidf_word_1_2_logreg_c10,2000,0,2000,0.9995,1.0,0.9995,0.9997499374843711,0.0,0.49975,0,1,1999,0,0.0,0.0005,0.9995,0,0.0,0.7813747920008609,10.988055709000037,81852,1779,5339,0.994407158836689,0.994407158836689,0.35790480267505553,"{""C"": 10.0, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.35790480267505553}",2000,67,completed,
spam_ham,tfidf_logistic_regression,tfidf_word_1_2_logreg_c10,2000,1431,569,0.739,0.5216989843028624,0.9929701230228472,0.6840193704600485,0.6380153738644304,0.8154927484436387,518,4,565,913,0.36198462613556953,0.007029876977152899,0.5415,0,0.0,0.2935146660020109,10.988055709000037,81852,1779,5339,0.994407158836689,0.994407158836689,0.35790480267505553,"{""C"": 10.0, ""max_df"": 0.95, ""ngram_range"": [1, 2], ""threshold"": 0.35790480267505553}",2000,67,completed,
