dataset,method,config_id,rows,ham_count,spam_count,accuracy,precision,recall,f1,specificity,balanced_accuracy,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,false_negative_rate,spam_prediction_rate,classification_failure_count,classification_failure_rate,runtime_seconds,training_runtime_seconds,training_rows,validation_rows,test_rows,validation_f1,validation_source_macro_f1,decision_threshold,parameters,sample_limit,seed,status,error_message
train_subset,tfidf_linear_svm,tfidf_char_wb_3_5_svm_c10,2000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1000,1000,0.0,0.0,0.5,0,0.0,3.439285499996913,230.55055937499856,81852,1779,5339,0.9977528089887641,0.9977528089887641,0.10311141869539675,"{""C"": 10.0, ""max_df"": 0.95, ""threshold"": 0.10311141869539675, ""vectorizer"": ""char_wb_3_5""}",2000,67,completed,
enron,tfidf_linear_svm,tfidf_char_wb_3_5_svm_c10,2000,2000,0,0.85,0.0,0.0,0.0,0.85,0.425,300,0,0,1700,0.15,0.0,0.15,0,0.0,3.1152537079979084,230.55055937499856,81852,1779,5339,0.9977528089887641,0.9977528089887641,0.10311141869539675,"{""C"": 10.0, ""max_df"": 0.95, ""threshold"": 0.10311141869539675, ""vectorizer"": ""char_wb_3_5""}",2000,67,completed,
fraudulent_email_corpus,tfidf_linear_svm,tfidf_char_wb_3_5_svm_c10,2000,0,2000,0.9965,1.0,0.9965,0.9982469321312296,0.0,0.49825,0,7,1993,0,0.0,0.0035,0.9965,0,0.0,3.770118749998801,230.55055937499856,81852,1779,5339,0.9977528089887641,0.9977528089887641,0.10311141869539675,"{""C"": 10.0, ""max_df"": 0.95, ""threshold"": 0.10311141869539675, ""vectorizer"": ""char_wb_3_5""}",2000,67,completed,
spam_ham,tfidf_linear_svm,tfidf_char_wb_3_5_svm_c10,2000,1431,569,0.9085,0.7757142857142857,0.9543057996485061,0.8557919621749409,0.8902865129280224,0.9222961562882643,157,26,543,1274,0.10971348707197764,0.04569420035149385,0.35,0,0.0,1.3539767499969457,230.55055937499856,81852,1779,5339,0.9977528089887641,0.9977528089887641,0.10311141869539675,"{""C"": 10.0, ""max_df"": 0.95, ""threshold"": 0.10311141869539675, ""vectorizer"": ""char_wb_3_5""}",2000,67,completed,
