method,config_id,validation_rows,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_specificity,validation_balanced_accuracy,validation_source_macro_f1,decision_threshold,training_runtime_seconds,parameters
fasttext,fasttext_lr0.05_ep5_w2_d100_char0_0,1779,0.9825744800449691,0.9735391400220507,0.9921348314606742,0.9827490261547024,0.9730033745781778,0.9825691030194259,0.9827490261547024,0.3353102052211763,7.877523208000639,"{""dim"": 100, ""epoch"": 5, ""lr"": 0.05, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.3353102052211763, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.05_ep10_w2_d100_char0_0,1779,0.9876335019673974,0.9854586129753915,0.9898876404494382,0.9876681614349776,0.9853768278965129,0.9876322341729755,0.9876681614349776,0.4586675004661077,12.742162292001012,"{""dim"": 100, ""epoch"": 10, ""lr"": 0.05, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.4586675004661077, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.05_ep20_w2_d100_char0_0,1779,0.9910061832490163,0.9888143176733781,0.9932584269662922,0.9910313901345291,0.9887514060742407,0.9910049165202665,0.9910313901345291,0.36331732958555146,23.2245362499998,"{""dim"": 100, ""epoch"": 20, ""lr"": 0.05, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.36331732958555146, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.1_ep5_w2_d100_char0_0,1779,0.9876335019673974,0.9876404494382023,0.9876404494382023,0.9876404494382023,0.9876265466816648,0.9876334980599335,0.9876404494382023,0.493821918964386,7.504069625003467,"{""dim"": 100, ""epoch"": 5, ""lr"": 0.1, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.493821918964386, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.1_ep10_w2_d100_char0_0,1779,0.9915682967959528,0.9910213243546577,0.9921348314606742,0.9915777653003931,0.9910011248593926,0.9915679781600334,0.9915777653003931,0.5,12.664568290998432,"{""dim"": 100, ""epoch"": 10, ""lr"": 0.1, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.1_ep20_w2_d100_char0_0,1779,0.9926925238898258,0.9921436588103255,0.9932584269662922,0.9927007299270073,0.9921259842519685,0.9926922056091303,0.9927007299270073,0.5,23.1279668749994,"{""dim"": 100, ""epoch"": 20, ""lr"": 0.1, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.25_ep5_w2_d100_char0_0,1779,0.9926925238898258,0.9921436588103255,0.9932584269662922,0.9927007299270073,0.9921259842519685,0.9926922056091303,0.9927007299270073,0.5,7.5888519159998395,"{""dim"": 100, ""epoch"": 5, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.25_ep10_w2_d100_char0_0,1779,0.9926925238898258,0.9921436588103255,0.9932584269662922,0.9927007299270073,0.9921259842519685,0.9926922056091303,0.9927007299270073,0.5,12.88632187499752,"{""dim"": 100, ""epoch"": 10, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.25_ep20_w2_d100_char0_0,1779,0.9932546374367622,0.9910514541387024,0.9955056179775281,0.9932735426008968,0.9910011248593926,0.9932533714184604,0.9932735426008968,0.33236838862299733,23.325964208997902,"{""dim"": 100, ""epoch"": 20, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.33236838862299733, ""wordNgrams"": 2}"
fasttext,fasttext_lr0.25_ep20_w1_d50_char0_0,1779,0.9926925238898258,0.9943630214205186,0.9910112359550561,0.9926842993809791,0.9943757030371203,0.9926934694960883,0.9926842993809791,0.5,11.197560209002404,"{""dim"": 50, ""epoch"": 20, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5, ""wordNgrams"": 1}"
fasttext,fasttext_lr0.25_ep20_w1_d100_char0_0,1779,0.9915682967959528,0.9943502824858758,0.9887640449438202,0.9915492957746479,0.9943757030371203,0.9915698739904703,0.9915492957746479,0.5724795705080047,13.550861249997979,"{""dim"": 100, ""epoch"": 20, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5724795705080047, ""wordNgrams"": 1}"
fasttext,fasttext_lr0.25_ep20_w1_d200_char0_0,1779,0.9926925238898258,0.9954802259887006,0.9898876404494382,0.9926760563380282,0.9955005624296963,0.9926941014395673,0.9926760563380282,0.5,17.527695832999598,"{""dim"": 200, ""epoch"": 20, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.5, ""wordNgrams"": 1}"
fasttext,fasttext_lr0.25_ep20_w2_d50_char0_0,1779,0.9932546374367622,0.9910514541387024,0.9955056179775281,0.9932735426008968,0.9910011248593926,0.9932533714184604,0.9932735426008968,0.33134888470172563,17.60150508300285,"{""dim"": 50, ""epoch"": 20, ""lr"": 0.25, ""maxn"": 0, ""minn"": 0, ""seed"": 67, ""thread"": 8, ""threshold"": 0.33134888470172563, ""wordNgrams"": 2}"
